"DisNo.","Historic","Classification Key","Disaster Group","Disaster Subgroup","Disaster Type","Disaster Subtype","External IDs","Event Name","ISO","Country","Subregion","Region","Location","Origin","Associated Types","OFDA/BHA Response","Appeal","Declaration","AID Contribution ('000 US$)","Magnitude","Magnitude Scale","Latitude","Longitude","River Basin","Start Year","Start Month","Start Day","End Year","End Month","End Day","Total Deaths","No. Injured","No. Affected","No. Homeless","Total Affected","Reconstruction Costs ('000 US$)","Reconstruction Costs, Adjusted ('000 US$)","Insured Damage ('000 US$)","Insured Damage, Adjusted ('000 US$)","Total Damage ('000 US$)","Total Damage, Adjusted ('000 US$)","CPI","Admin Units","Entry Date","Last Update"
"1905-0001-ITA","Yes","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NA,NA,"ITA","Italy","Southern Europe","Europe","MONTELEONE, TROPEA, MONTE PORO (Calabria)",NA,NA,"No","No","No",NA,7.1,"Moment Magnitude",38.67,16.07,NA,1905,9,8,1905,9,8,557,2000,NA,20100,22100,NA,NA,NA,NA,NA,NA,2.94888701090496,NA,"2003-07-01","2023-09-25"
"1906-0012-ITA","Yes","nat-geo-vol-ash","Natural","Geophysical","Volcanic activity","Ash fall",NA,"Mt. Vesuve","ITA","Italy","Southern Europe","Europe",NA,NA,NA,"No","No","No",NA,NA,NA,40.821,14.426,NA,1906,4,18,1906,4,18,700,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.94888701090496,NA,"2003-11-16","2023-09-25"
"1908-0007-ITA","Yes","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NA,NA,"ITA","Italy","Southern Europe","Europe","Messina, Regio, Calabria, Sicilia",NA,"Tsunami/Tidal wave","No","No","No",NA,7,"Moment Magnitude",38.17,15.58,NA,1908,12,28,1908,12,28,75000,NA,150000,NA,150000,NA,NA,NA,NA,116000,3933688,2.94888701090496,NA,"2011-05-23","2023-09-25"
"1914-0028-ITA","Yes","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NA,NA,"ITA","Italy","Southern Europe","Europe","Catania, Etna",NA,NA,"No","No","No",NA,4.9,"Moment Magnitude",37.7,15.2,NA,1914,5,8,1914,5,8,120,NA,NA,669,669,NA,NA,NA,NA,NA,NA,3.28139194142634,NA,"2019-08-07","2023-09-25"
"1915-0002-ITA","Yes","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NA,NA,"ITA","Italy","Southern Europe","Europe","Avezzano, Marsica (Abruzze)",NA,NA,"No","No","No",NA,7.5,"Moment Magnitude",42.02,13.26,NA,1915,1,13,1915,1,13,29980,NA,NA,NA,NA,NA,NA,NA,NA,60000,1810388,3.31420586084061,NA,"2011-05-23","2023-09-25"
"1920-0014-ITA","Yes","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NA,NA,"ITA","Italy","Southern Europe","Europe","Carrara, Farfagnana",NA,NA,"No","No","No",NA,5.8,"Moment Magnitude",44.3,10.3,NA,1920,9,7,1920,9,7,1400,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.56278388285269,NA,"2003-07-01","2023-09-25"
"1922-0002-ITA","Yes","nat-hyd-mmw-lan","Natural","Hydrological","Mass movement (wet)","Landslide (wet)",NA,NA,"ITA","Italy","Southern Europe","Europe","Sicily",NA,NA,"No","No","No",NA,NA,NA,NA,NA,NA,1922,2,11,1922,2,11,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.51273846159626,NA,"2003-07-01","2023-09-25"
"1930-0008-ITA","Yes","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NA,NA,"ITA","Italy","Southern Europe","Europe","Irpina, Naples",NA,NA,"No","No","No",NA,6.4,"Moment Magnitude",40.922,15.377,NA,1930,7,23,1930,7,23,1883,NA,10000,NA,10000,NA,NA,NA,NA,5000,91242,5.47992454218199,NA,"2003-07-01","2023-09-25"
"1930-0033-ITA","Yes","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NA,NA,"ITA","Italy","Southern Europe","Europe","Senigalia",NA,NA,"No","No","No",NA,5.9,"Moment Magnitude",43.667,13.267,NA,1930,10,30,1930,10,30,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.47992454218199,NA,"2019-08-08","2023-09-25"
"1933-0027-ITA","Yes","nat-geo-ear-gro","Natural","Geophysical","Earthquake","Ground movement",NA,NA,"ITA","Italy","Southern Europe","Europe","Central",NA,NA,"No","No","No",NA,NA,"Moment Magnitude",42,14.2,NA,1933,9,26,1933,9,26,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.23299560443998,NA,"2019-08-12","2023-09-25"
